t,T+R,N_0
0,1,6.74891e-29
10,1,1.80934e-28
20,1,2.85109e-28
30,1,3.25299e-28
40,1,2.76394e-28
50,1,3.81505e-28
60,1,8.42321e-28
70,1,8.94765e-28
80,1,5.86878e-28
90,1,5.77292e-28
100,1,7.83492e-28
110,1,7.75221e-28
120,1,5.54396e-28
130,1.0002,5.96961e-28
140,1.00614,5.78783e-28
150,1.05576,5.73528e-25
160,0.665723,3.33938e-21
170,1.92772,5.49274e-18
180,1.09118,3.31949e-15
190,0.540951,8.61742e-13
200,0.0218336,1.08411e-10
210,0.133195,7.2635e-09
220,0.0538815,2.79209e-07
230,0.113993,6.52771e-06
240,0.127771,9.70617e-05
250,0.157153,0.000948416
260,0.19616,0.00622604
270,0.251233,0.027821
280,0.348886,0.0852389
290,0.483876,0.180819
300,0.61717,0.274796
310,0.70738,0.329999
320,0.772828,0.365201
330,0.831814,0.399687
340,0.875629,0.424082
350,0.908289,0.441855
360,0.933213,0.455488
370,0.951246,0.465092
380,0.964672,0.472266
390,0.974373,0.477357
400,0.981472,0.481075
410,0.986608,0.483734
420,0.990328,0.485645
430,0.993023,0.487022
440,0.994965,0.488003
450,0.996371,0.488709
460,0.997383,0.489213
470,0.998114,0.489574
480,0.998641,0.489833
490,0.99902,0.490017
500,0.999294,0.490149
600,0.999974,0.490468
700,0.999999,0.490479
800,1,0.490479
900,1,0.490479
1000,1,0.490479
1100,1,0.490479
1200,1,0.490479
1300,1,0.490479
1400,1,0.490479
1500,1,0.490479
1600,1,0.490479
1700,1,0.490479
1800,1,0.490479
1900,1,0.490479
2000,1,0.490479
2100,1,0.490479
2200,1,0.490479
2300,1,0.490479
2400,1,0.490479
2500,1,0.490479
2600,1,0.490479
2700,1,0.490479
2800,1,0.490479
2900,1,0.490479
3000,1,0.490479
3100,1,0.490479
3200,1,0.490479
3300,1,0.490479
3400,1,0.490479
3500,1,0.490479
3600,1,0.490479
3700,1,0.490479
3800,1,0.490479
3900,1,0.490479
4000,1,0.490479
4100,1,0.490479
4200,1,0.490479
4300,1,0.490479
4400,1,0.490479
4500,1,0.490479
4600,1,0.490479
4700,1,0.490479
4800,1,0.490479
4900,1,0.490479
5000,1,0.490479
5100,1,0.490479
5200,1,0.490479
5300,1,0.490479
5400,1,0.490479
5500,1,0.490479
5600,1,0.490479
5700,1,0.490479
5800,1,0.490479
5900,1,0.490479
6000,1,0.490479
6100,1,0.490479
6200,1,0.490479
6300,1,0.490479
6400,1,0.490479
6500,1,0.490479
6600,1,0.490479
6700,1,0.490479
6800,1,0.490479
6900,1,0.490479
7000,1,0.490479
7100,1,0.490479
7200,1,0.490479
7300,1,0.490479
7400,1,0.490479
7500,1,0.490479
7600,1,0.490479
7700,1,0.490479
7800,1,0.490479
7900,1,0.490479
8000,1,0.490479
8100,1,0.490479
8200,1,0.490479
8300,1,0.490479
8400,1,0.490479
