E,T,R0,R,N_R0,E/V0
4.64006e-06,2.84178,2.84256,2.84256,0.500069,4.64006e-08
1.28891e-05,2.81591,2.81743,2.81743,0.500135,1.28891e-07
2.52625e-05,2.78951,2.79171,2.79171,0.500197,2.52625e-07
4.17605e-05,2.76262,2.76541,2.76541,0.500252,4.17605e-07
6.2383e-05,2.73527,2.73853,2.73853,0.500297,6.2383e-07
8.713e-05,2.7075,2.71107,2.71107,0.50033,8.713e-07
0.000116001,2.67932,2.68306,2.68306,0.500349,1.16001e-06
0.000148997,2.65077,2.65449,2.65449,0.500351,1.48997e-06
0.000186118,2.62187,2.62538,2.62538,0.500334,1.86118e-06
0.000227363,2.59267,2.59573,2.59573,0.500295,2.27363e-06
0.000272732,2.56317,2.56555,2.56555,0.500232,2.72732e-06
0.000322226,2.53342,2.53486,2.53486,0.500142,3.22226e-06
0.000375845,2.50343,2.50367,2.50367,0.500024,3.75845e-06
0.000433588,2.47323,2.47198,2.47198,0.499873,4.33588e-06
0.000495455,2.44285,2.43981,2.43981,0.499688,4.95455e-06
0.000561447,2.41231,2.40717,2.40717,0.499467,5.61447e-06
0.000631564,2.38164,2.37408,2.37408,0.499206,6.31564e-06
0.000705805,2.35085,2.34055,2.34055,0.498902,7.05805e-06
0.00078417,2.31996,2.30658,2.30658,0.498554,7.8417e-06
0.00086666,2.28901,2.27221,2.27221,0.498158,8.6666e-06
0.000953275,2.25801,2.23743,2.23743,0.497711,9.53275e-06
0.00104401,2.22698,2.20228,2.20228,0.497211,1.04401e-05
0.00113888,2.19595,2.16675,2.16675,0.496654,1.13888e-05
0.00123786,2.16492,2.13088,2.13088,0.496038,1.23786e-05
0.00134098,2.13391,2.09467,2.09467,0.49536,1.34098e-05
0.00144821,2.10296,2.05816,2.05816,0.494617,1.44821e-05
0.00155958,2.07206,2.02134,2.02134,0.493804,1.55958e-05
0.00167506,2.04124,1.98424,1.98424,0.49292,1.67506e-05
0.00179467,2.01052,1.94689,1.94689,0.491961,1.79467e-05
0.00191841,1.9799,1.9093,1.9093,0.490923,1.91841e-05
0.00204627,1.94941,1.87149,1.87149,0.489803,2.04627e-05
0.00217825,1.91905,1.83348,1.83348,0.488598,2.17825e-05
0.00231436,1.88884,1.79529,1.79529,0.487303,2.31436e-05
0.00245459,1.8588,1.75694,1.75694,0.485915,2.45459e-05
0.00259895,1.82893,1.71846,1.71846,0.48443,2.59895e-05
0.00274743,1.79924,1.67987,1.67987,0.482844,2.74743e-05
0.00290004,1.76975,1.64118,1.64118,0.481153,2.90004e-05
0.00305677,1.74047,1.60243,1.60243,0.479353,3.05677e-05
0.00321762,1.7114,1.56363,1.56363,0.47744,3.21762e-05
0.0033826,1.68256,1.52481,1.52481,0.475408,3.3826e-05
0.00355171,1.65395,1.48599,1.48599,0.473254,3.55171e-05
0.00372494,1.62559,1.4472,1.4472,0.470973,3.72494e-05
0.00390229,1.59747,1.40846,1.40846,0.46856,3.90229e-05
0.00408377,1.56962,1.3698,1.3698,0.46601,4.08377e-05
0.00426937,1.54202,1.33123,1.33123,0.463318,4.26937e-05
0.0044591,1.5147,1.29279,1.29279,0.460479,4.4591e-05
0.00465295,1.48765,1.2545,1.2545,0.457487,4.65295e-05
0.00485092,1.46089,1.21638,1.21638,0.454336,4.85092e-05
0.00505303,1.43441,1.17847,1.17847,0.451022,5.05303e-05
0.00525925,1.40823,1.14078,1.14078,0.447538,5.25925e-05
0.0054696,1.38234,1.10334,1.10334,0.443878,5.4696e-05
0.00568407,1.35675,1.06618,1.06618,0.440036,5.68407e-05
0.00590267,1.33147,1.02931,1.02931,0.436006,5.90267e-05
0.00612539,1.30649,0.992782,0.992782,0.431781,6.12539e-05
0.00635224,1.28182,0.956602,0.956602,0.427356,6.35224e-05
0.00658321,1.25746,0.920801,0.920801,0.422723,6.58321e-05
0.00681831,1.23342,0.885404,0.885404,0.417875,6.81831e-05
0.00705753,1.20969,0.850436,0.850436,0.412807,7.05753e-05
0.00730088,1.18628,0.815923,0.815923,0.407512,7.30088e-05
0.00754835,1.16319,0.781888,0.781888,0.401982,7.54835e-05
0.00779994,1.14042,0.748356,0.748356,0.396212,7.79994e-05
0.00805566,1.11797,0.715353,0.715353,0.390194,8.05566e-05
0.0083155,1.09584,0.682901,0.682901,0.383923,8.3155e-05
0.00857947,1.07404,0.651025,0.651025,0.377392,8.57947e-05
0.00884756,1.05255,0.619747,0.619747,0.370596,8.84756e-05
0.00911978,1.03138,0.589091,0.589091,0.36353,9.11978e-05
0.00939612,1.01054,0.559079,0.559079,0.356188,9.39612e-05
0.00967659,0.990016,0.529734,0.529734,0.348567,9.67659e-05
0.00996118,0.969811,0.501077,0.501077,0.340663,9.96118e-05
0.0102499,0.949924,0.473128,0.473128,0.332474,0.000102499
0.0105427,0.930354,0.445909,0.445909,0.324,0.000105427
0.0108397,0.911099,0.419439,0.419439,0.31524,0.000108397
0.0111408,0.892159,0.393737,0.393737,0.306197,0.000111408
0.011446,0.87353,0.368822,0.368822,0.296874,0.00011446
0.0117553,0.855213,0.344712,0.344712,0.287278,0.000117553
0.0120688,0.837203,0.321424,0.321424,0.277418,0.000120688
0.0123864,0.8195,0.298975,0.298975,0.267306,0.000123864
0.0127081,0.802101,0.277379,0.277379,0.256956,0.000127081
0.0130339,0.785004,0.256652,0.256652,0.246388,0.000130339
0.0133639,0.768206,0.236808,0.236808,0.235626,0.000133639
0.013698,0.751705,0.217859,0.217859,0.224698,0.00013698
0.0140362,0.735498,0.199818,0.199818,0.213637,0.000140362
0.0143785,0.719582,0.182696,0.182696,0.202483,0.000143785
0.014725,0.703954,0.166503,0.166503,0.191282,0.00014725
0.0150756,0.688612,0.151248,0.151248,0.180087,0.000150756
0.0154303,0.673553,0.13694,0.13694,0.168959,0.000154303
0.0157891,0.658773,0.123586,0.123586,0.157966,0.000157891
0.016152,0.64427,0.111192,0.111192,0.147184,0.00016152
0.0165191,0.63004,0.0997619,0.0997619,0.136697,0.000165191
0.0168903,0.61608,0.0893011,0.0893011,0.1266,0.000168903
0.0172657,0.602386,0.0798119,0.0798119,0.116992,0.000172657
0.0176451,0.588956,0.0712959,0.0712959,0.107983,0.000176451
0.0180287,0.575787,0.0637535,0.0637535,0.0996865,0.000180287
0.0184164,0.562873,0.0571841,0.0571841,0.0922239,0.000184164
0.0188082,0.550214,0.0515859,0.0515859,0.0857193,0.000188082
0.0192042,0.537804,0.0469557,0.0469557,0.0802992,0.000192042
0.0196043,0.525641,0.0432893,0.0432893,0.0760889,0.000196043
0.0200085,0.51372,0.0405812,0.0405812,0.0732114,0.000200085
0.0204168,0.50204,0.0388247,0.0388247,0.0717827,0.000204168
0.0208292,0.490595,0.038012,0.038012,0.0719097,0.000208292
0.0212458,0.479383,0.0381337,0.0381337,0.073686,0.000212458
0.0216665,0.4684,0.0391798,0.0391798,0.0771894,0.000216665
0.0220913,0.457643,0.0411383,0.0411383,0.0824778,0.000220913
0.0225203,0.447107,0.0439969,0.0439969,0.0895876,0.000225203
0.0229533,0.436791,0.0477411,0.0477411,0.0985303,0.000229533
0.0233905,0.426689,0.0523561,0.0523561,0.109292,0.000233905
0.0238319,0.4168,0.0578252,0.0578252,0.121834,0.000238319
0.0242773,0.407118,0.0641312,0.0641312,0.136088,0.000242773
0.0247269,0.397641,0.071255,0.071255,0.151963,0.000247269
0.0251806,0.388366,0.0791771,0.0791771,0.169347,0.000251806
0.0256384,0.379289,0.0878763,0.0878763,0.188106,0.000256384
0.0261003,0.370406,0.0973307,0.0973307,0.208089,0.000261003
0.0265664,0.361714,0.107517,0.107517,0.229134,0.000265664
0.0270366,0.35321,0.118411,0.118411,0.251072,0.000270366
0.0275109,0.344891,0.129988,0.129988,0.273728,0.000275109
0.0279894,0.336753,0.142221,0.142221,0.296929,0.000279894
0.0284719,0.328793,0.155084,0.155084,0.320502,0.000284719
0.0289586,0.321008,0.168548,0.168548,0.344287,0.000289586
0.0294494,0.313395,0.182584,0.182584,0.368128,0.000294494
0.0299444,0.30595,0.197163,0.197163,0.391886,0.000299444
0.0304434,0.29867,0.212254,0.212254,0.415431,0.000304434
0.0309466,0.291552,0.227825,0.227825,0.438651,0.000309466
0.0314539,0.284594,0.243846,0.243846,0.461446,0.000314539
0.0319654,0.277791,0.260283,0.260283,0.483731,0.000319654
0.0324809,0.271141,0.277103,0.277103,0.505437,0.000324809
0.0330006,0.264642,0.294273,0.294273,0.526507,0.000330006
0.0335244,0.25829,0.311757,0.311757,0.546897,0.000335244
0.0340524,0.252082,0.329522,0.329522,0.566575,0.000340524
0.0345844,0.246015,0.347532,0.347532,0.585517,0.000345844
0.0351206,0.240087,0.365753,0.365753,0.603712,0.000351206
0.0356609,0.234295,0.384147,0.384147,0.621153,0.000356609
0.0362054,0.228636,0.40268,0.40268,0.637843,0.000362054
0.0367539,0.223107,0.421316,0.421316,0.653788,0.000367539
0.0373066,0.217706,0.440019,0.440019,0.669001,0.000373066
0.0378634,0.21243,0.458752,0.458752,0.683499,0.000378634
0.0384243,0.207276,0.47748,0.47748,0.697299,0.000384243
0.0389894,0.202243,0.496167,0.496167,0.710424,0.000389894
0.0395586,0.197327,0.514777,0.514777,0.722896,0.000395586
0.0401319,0.192526,0.533275,0.533275,0.73474,0.000401319
0.0407093,0.187837,0.551627,0.551627,0.745982,0.000407093
0.0412909,0.183259,0.569797,0.569797,0.756647,0.000412909
0.0418765,0.178788,0.587751,0.587751,0.76676,0.000418765
0.0424663,0.174423,0.605457,0.605457,0.776347,0.000424663
0.0430603,0.170161,0.622881,0.622881,0.785433,0.000430603
0.0436583,0.166,0.63999,0.63999,0.794042,0.000436583
0.0442605,0.161938,0.656754,0.656754,0.8022,0.000442605
0.0448668,0.157972,0.673142,0.673142,0.809927,0.000448668
0.0454772,0.154101,0.689124,0.689124,0.817248,0.000454772
0.0460918,0.150323,0.704671,0.704671,0.824183,0.000460918
0.0467105,0.146635,0.719756,0.719756,0.830752,0.000467105
0.0473333,0.143035,0.734351,0.734351,0.836976,0.000473333
0.0479602,0.139522,0.748432,0.748432,0.842873,0.000479602
0.0485912,0.136093,0.761974,0.761974,0.84846,0.000485912
0.0492264,0.132747,0.774953,0.774953,0.853755,0.000492264
0.0498657,0.129481,0.787348,0.787348,0.858773,0.000498657
